Year,ProductionMonth,UID,CondINJ,Flare,Fuel,FuelINJ,GasConfidential,Method,Oil,Operation,Operator,Region,SOR,Scheme,SolutionGas,SteamINJ,Vent,k_14
2015,2015-11,11,NA,1.2,25134,NA,NA,SAGD,72133,HSETL,Husky,Cold Lake,4.26179412,TuckerLake,3926.7,307417.7,NA,12
2015,2015-08,16,NA,152.2,12841,NA,NA,SAGD,72301,PGFLB,Pengrowth,Cold Lake,2.100840929,Lindbergh,2104.3,151892.9,NA,11
2016,2016-04,16,NA,5.9,13186,NA,NA,SAGD,72568,PGFLB,Pengrowth,Cold Lake,2.398232003,Lindbergh,2094.5,174034.9,2.6,11
2016,2016-11,16,NA,NA,14139,NA,NA,SAGD,73610,PGFLB,Pengrowth,Cold Lake,2.521510014,Lindbergh,1197.7,185608.1,NA,13
2016,2016-06,16,NA,0.8,12971,NA,NA,SAGD,73804,PGFLB,Pengrowth,Cold Lake,2.345810892,Lindbergh,2293.2,173131.4,NA,11
2015,2015-03,19,777,105.9,20542,371.9,NA,SAGD,73906,COGGD,Connacher Oil And Gas Limited,Athabasca,3.73731397,GreatDivide,2062.7,276210.3,NA,7
2018,2018-10,20,NA,56.1,19880,NA,NA,SAGD,74203,OSUM,Osum,Cold Lake,4.002547063,Orion,884.1,297001.4,2.5,7
2015,2015-10,11,NA,0.3,25064,NA,NA,SAGD,74281,HSETL,Husky,Cold Lake,4.123876066,TuckerLake,4156.5,306327.7,1.2,12
2015,2015-12,16,NA,13.9,13336,NA,NA,SAGD,74406,PGFLB,Pengrowth,Cold Lake,2.147457987,Lindbergh,2734.3,159782.9,1.5,11
2015,2015-06,19,NA,113.9,19094,797.8,NA,SAGD,74583,COGGD,Connacher Oil And Gas Limited,Athabasca,3.555905947,GreatDivide,2310.3,265211.2,1.2,7
2016,2016-12,16,NA,8.9,14614,NA,NA,SAGD,74862,PGFLB,Pengrowth,Cold Lake,2.532014822,Lindbergh,802,189552.2,NA,13
2016,2016-01,16,NA,6.2,13952,NA,NA,SAGD,74895,PGFLB,Pengrowth,Cold Lake,2.278791269,Lindbergh,2864.1,170670.3,NA,11
2018,2018-11,20,NA,23.8,20051,NA,NA,SAGD,75623,OSUM,Osum,Cold Lake,4.020874519,Orion,1322.3,304071.8,NA,7
2015,2015-12,11,NA,1.6,26881,NA,NA,SAGD,75665,HSETL,Husky,Cold Lake,4.250123572,TuckerLake,4953.6,321583.9,NA,12
2018,2018-12,20,NA,0.5,20354,NA,NA,SAGD,75777,OSUM,Osum,Cold Lake,4.09724889,Orion,1437.2,310476,NA,12
2016,2016-10,16,NA,1.1,13883,NA,NA,SAGD,75786,PGFLB,Pengrowth,Cold Lake,2.429091312,Lindbergh,1115.9,184091.6,13,13
2018,2018-04,16,NA,5.5,14695,NA,2984.5,SAGD,75967,PGFLB,Pengrowth,Cold Lake,3.052302698,Lindbergh,615.6,231875.5,NA,13
2018,2018-09,16,NA,21.2,14279,NA,3064.5,SAGD,76023,PGFLB,Pengrowth,Cold Lake,2.896464364,Lindbergh,317,220198.2,NA,13
2015,2015-01,19,1069,108.1,20998,290.4,NA,SAGD,76415,COGGD,Connacher Oil And Gas Limited,Athabasca,3.596069866,GreatDivide,1253.8,274792.6,NA,7
2019,2019-02,20,NA,203.8,16678,NA,NA,SAGD,76425,OSUM,Osum,Cold Lake,3.368166176,Orion,1538.8,257412.1,NA,7
2016,2016-01,11,NA,0.3,26773,NA,NA,SAGD,76436,HSETL,Husky,Cold Lake,4.300602854,TuckerLake,4532.4,328722.6,NA,12
2018,2018-05,16,NA,9.6,15889,NA,2781.2,SAGD,76666,PGFLB,Pengrowth,Cold Lake,3.205311083,Lindbergh,27.5,245738.7,NA,7
2016,2016-08,16,NA,0.9,14435,NA,NA,SAGD,76863,PGFLB,Pengrowth,Cold Lake,2.474884567,Lindbergh,2630.4,190227.3,NA,13
2016,2016-03,16,NA,2.5,13682,NA,NA,SAGD,77033,PGFLB,Pengrowth,Cold Lake,2.304319323,Lindbergh,2271.4,177508.4,NA,11
2016,2016-07,16,NA,NA,13813,NA,NA,SAGD,77048,PGFLB,Pengrowth,Cold Lake,2.385668971,Lindbergh,2573.9,183811.5,1.1,13
2015,2015-12,8,NA,2.5,35859,NA,NA,SAGD,77342,HSESR,Husky,Athabasca,6.100154251,Sunrise,263,471796.3,NA,14
2018,2018-03,16,NA,1.4,14698,NA,3295.4,SAGD,77446,PGFLB,Pengrowth,Cold Lake,3.085543586,Lindbergh,194.4,238962.7,NA,7
2018,2018-06,16,NA,9.4,15721,NA,2901.2,SAGD,77770,PGFLB,Pengrowth,Cold Lake,3.092619381,Lindbergh,315.9,240512.7,NA,7
2016,2016-01,13,NA,0.2,17512,137,35.5,SAGD,78259,AOCLM,Athabasca Oil Corporation,Athabasca,3.217317969,Leismer,1030.6,251782.8,1.5,7
2016,2016-05,16,NA,18.2,13679,NA,NA,SAGD,78453,PGFLB,Pengrowth,Cold Lake,2.286516403,Lindbergh,2593.4,179384.3,1.3,13
2015,2015-03,13,NA,0.4,18745,NA,15.3,SAGD,78880,AOCLM,Athabasca Oil Corporation,Athabasca,2.904873587,Leismer,773.6,229137.3,2.2,13
